M,N,K,Triton
256.000000,256.000000,256.000000,4.681143
384.000000,384.000000,384.000000,13.824000
512.000000,512.000000,512.000000,29.127110
640.000000,640.000000,640.000000,46.545454
768.000000,768.000000,768.000000,58.982401
896.000000,896.000000,896.000000,87.808000
1024.000000,1024.000000,1024.000000,116.508440
1152.000000,1152.000000,1152.000000,114.845540
1280.000000,1280.000000,1280.000000,136.533337
1408.000000,1408.000000,1408.000000,165.205332
1536.000000,1536.000000,1536.000000,147.455995
1664.000000,1664.000000,1664.000000,166.646518
1792.000000,1792.000000,1792.000000,170.294302
1920.000000,1920.000000,1920.000000,194.704219
2048.000000,2048.000000,2048.000000,223.696203
2176.000000,2176.000000,2176.000000,197.290670
2304.000000,2304.000000,2304.000000,194.210333
2432.000000,2432.000000,2432.000000,212.836847
2560.000000,2560.000000,2560.000000,208.713373
2688.000000,2688.000000,2688.000000,228.512388
2816.000000,2816.000000,2816.000000,228.346640
2944.000000,2944.000000,2944.000000,221.493479
3072.000000,3072.000000,3072.000000,237.912208
3200.000000,3200.000000,3200.000000,242.424241
3328.000000,3328.000000,3328.000000,236.813484
3456.000000,3456.000000,3456.000000,241.381932
3584.000000,3584.000000,3584.000000,234.766033
3712.000000,3712.000000,3712.000000,243.059239
3840.000000,3840.000000,3840.000000,235.302128
3968.000000,3968.000000,3968.000000,245.027980
4096.000000,4096.000000,4096.000000,256.630443
